passer,recipient,n_passes_completed
Antonio Rüdiger,Jamal Musiala,2
Antonio Rüdiger,Joshua Kimmich,1
Antonio Rüdiger,Kai Havertz,3
Antonio Rüdiger,Leon Goretzka,1
Antonio Rüdiger,Leroy Sané,1
Antonio Rüdiger,Manuel Neuer,7
Antonio Rüdiger,Mats Hummels,26
Antonio Rüdiger,Matthias Ginter,7
Antonio Rüdiger,Robin Gosens,10
Antonio Rüdiger,Serge Gnabry,1
Antonio Rüdiger,Toni Kroos,23
Antonio Rüdiger,İlkay Gündoğan,2
Jamal Musiala,Leon Goretzka,1
Jamal Musiala,Thomas Müller,1
Jamal Musiala,Timo Werner,2
Jamal Musiala,Toni Kroos,2
Joshua Kimmich,Antonio Rüdiger,4
Joshua Kimmich,Kai Havertz,4
Joshua Kimmich,Kevin Volland,2
Joshua Kimmich,Leon Goretzka,1
Joshua Kimmich,Leroy Sané,7
Joshua Kimmich,Manuel Neuer,2
Joshua Kimmich,Mats Hummels,12
Joshua Kimmich,Matthias Ginter,18
Joshua Kimmich,Robin Gosens,1
Joshua Kimmich,Serge Gnabry,2
Joshua Kimmich,Thomas Müller,1
Joshua Kimmich,Timo Werner,1
Joshua Kimmich,Toni Kroos,4
Joshua Kimmich,İlkay Gündoğan,2
Kai Havertz,Antonio Rüdiger,1
Kai Havertz,Joshua Kimmich,4
Kai Havertz,Leroy Sané,4
Kai Havertz,Mats Hummels,1
Kai Havertz,Matthias Ginter,6
Kai Havertz,Robin Gosens,3
Kai Havertz,Serge Gnabry,1
Kai Havertz,Toni Kroos,1
Kai Havertz,İlkay Gündoğan,1
Kevin Volland,Jamal Musiala,1
Kevin Volland,Leroy Sané,1
Kevin Volland,Thomas Müller,1
Leon Goretzka,Joshua Kimmich,3
Leon Goretzka,Manuel Neuer,1
Leon Goretzka,Mats Hummels,2
Leon Goretzka,Robin Gosens,5
Leon Goretzka,Thomas Müller,1
Leon Goretzka,Timo Werner,1
Leroy Sané,Antonio Rüdiger,5
Leroy Sané,Joshua Kimmich,7
Leroy Sané,Kai Havertz,4
Leroy Sané,Mats Hummels,1
Leroy Sané,Matthias Ginter,10
Leroy Sané,Robin Gosens,2
Leroy Sané,Serge Gnabry,1
Leroy Sané,Thomas Müller,1
Leroy Sané,Toni Kroos,6
Manuel Neuer,Antonio Rüdiger,9
Manuel Neuer,Joshua Kimmich,4
Manuel Neuer,Leon Goretzka,1
Manuel Neuer,Mats Hummels,2
Manuel Neuer,Matthias Ginter,6
Manuel Neuer,Robin Gosens,3
Manuel Neuer,Thomas Müller,1
Manuel Neuer,Toni Kroos,2
Mats Hummels,Antonio Rüdiger,26
Mats Hummels,Joshua Kimmich,7
Mats Hummels,Kai Havertz,3
Mats Hummels,Leon Goretzka,2
Mats Hummels,Leroy Sané,4
Mats Hummels,Manuel Neuer,6
Mats Hummels,Matthias Ginter,38
Mats Hummels,Robin Gosens,1
Mats Hummels,Serge Gnabry,1
Mats Hummels,Thomas Müller,1
Mats Hummels,Timo Werner,1
Mats Hummels,Toni Kroos,21
Mats Hummels,İlkay Gündoğan,3
Matthias Ginter,Antonio Rüdiger,2
Matthias Ginter,Joshua Kimmich,18
Matthias Ginter,Kai Havertz,9
Matthias Ginter,Leroy Sané,17
Matthias Ginter,Manuel Neuer,3
Matthias Ginter,Mats Hummels,47
Matthias Ginter,Serge Gnabry,4
Matthias Ginter,Thomas Müller,2
Matthias Ginter,Toni Kroos,5
Matthias Ginter,İlkay Gündoğan,3
Robin Gosens,Antonio Rüdiger,15
Robin Gosens,Kai Havertz,2
Robin Gosens,Leroy Sané,2
Robin Gosens,Manuel Neuer,1
Robin Gosens,Mats Hummels,2
Robin Gosens,Serge Gnabry,1
Robin Gosens,Timo Werner,1
Robin Gosens,Toni Kroos,17
Robin Gosens,İlkay Gündoğan,5
Serge Gnabry,Antonio Rüdiger,1
Serge Gnabry,Joshua Kimmich,3
Serge Gnabry,Kai Havertz,1
Serge Gnabry,Leroy Sané,1
Serge Gnabry,Mats Hummels,1
Serge Gnabry,Matthias Ginter,1
Serge Gnabry,Robin Gosens,1
Serge Gnabry,Toni Kroos,1
Serge Gnabry,İlkay Gündoğan,5
Thomas Müller,Jamal Musiala,2
Thomas Müller,Leon Goretzka,1
Thomas Müller,Leroy Sané,2
Thomas Müller,Mats Hummels,1
Thomas Müller,Matthias Ginter,1
Thomas Müller,Toni Kroos,2
Timo Werner,Antonio Rüdiger,3
Timo Werner,Kevin Volland,1
Timo Werner,Leon Goretzka,2
Timo Werner,Toni Kroos,5
Toni Kroos,Antonio Rüdiger,9
Toni Kroos,Jamal Musiala,2
Toni Kroos,Joshua Kimmich,9
Toni Kroos,Kai Havertz,3
Toni Kroos,Leon Goretzka,4
Toni Kroos,Leroy Sané,5
Toni Kroos,Manuel Neuer,1
Toni Kroos,Mats Hummels,8
Toni Kroos,Matthias Ginter,21
Toni Kroos,Robin Gosens,13
Toni Kroos,Serge Gnabry,3
Toni Kroos,Thomas Müller,6
Toni Kroos,Timo Werner,4
Toni Kroos,İlkay Gündoğan,15
İlkay Gündoğan,Antonio Rüdiger,4
İlkay Gündoğan,Joshua Kimmich,5
İlkay Gündoğan,Kai Havertz,1
İlkay Gündoğan,Leroy Sané,4
İlkay Gündoğan,Mats Hummels,5
İlkay Gündoğan,Matthias Ginter,5
İlkay Gündoğan,Robin Gosens,1
İlkay Gündoğan,Serge Gnabry,1
İlkay Gündoğan,Toni Kroos,10
