passer,recipient,n_passes_completed
André Miguel Valente Silva,Danilo Luís Hélio Pereira,1
André Miguel Valente Silva,Nélson Cabral Semedo,1
André Miguel Valente Silva,Rafael Alexandre Fernandes Ferreira da Silva,1
Bernardo Mota Veiga de Carvalho e Silva,Bruno Miguel Borges Fernandes,4
Bernardo Mota Veiga de Carvalho e Silva,Cristiano Ronaldo dos Santos Aveiro,1
Bernardo Mota Veiga de Carvalho e Silva,Danilo Luís Hélio Pereira,1
Bernardo Mota Veiga de Carvalho e Silva,Diogo José Teixeira da Silva,2
Bernardo Mota Veiga de Carvalho e Silva,Kléper Laveran Lima Ferreira,3
Bernardo Mota Veiga de Carvalho e Silva,Nélson Cabral Semedo,3
Bernardo Mota Veiga de Carvalho e Silva,Raphaël Adelino José Guerreiro,1
Bernardo Mota Veiga de Carvalho e Silva,Rúben Santos Gato Alves Dias,1
Bernardo Mota Veiga de Carvalho e Silva,William Silva de Carvalho,1
Bruno Miguel Borges Fernandes,Bernardo Mota Veiga de Carvalho e Silva,7
Bruno Miguel Borges Fernandes,Cristiano Ronaldo dos Santos Aveiro,3
Bruno Miguel Borges Fernandes,Danilo Luís Hélio Pereira,3
Bruno Miguel Borges Fernandes,Diogo José Teixeira da Silva,2
Bruno Miguel Borges Fernandes,Nélson Cabral Semedo,6
Bruno Miguel Borges Fernandes,Renato Júnior Luz Sanches,1
Bruno Miguel Borges Fernandes,William Silva de Carvalho,2
Cristiano Ronaldo dos Santos Aveiro,André Miguel Valente Silva,1
Cristiano Ronaldo dos Santos Aveiro,Bruno Miguel Borges Fernandes,5
Cristiano Ronaldo dos Santos Aveiro,Diogo José Teixeira da Silva,5
Cristiano Ronaldo dos Santos Aveiro,João Filipe Iria Santos Moutinho,1
Cristiano Ronaldo dos Santos Aveiro,Kléper Laveran Lima Ferreira,1
Cristiano Ronaldo dos Santos Aveiro,Nélson Cabral Semedo,4
Cristiano Ronaldo dos Santos Aveiro,Raphaël Adelino José Guerreiro,3
Cristiano Ronaldo dos Santos Aveiro,Renato Júnior Luz Sanches,1
Cristiano Ronaldo dos Santos Aveiro,William Silva de Carvalho,1
Danilo Luís Hélio Pereira,Bruno Miguel Borges Fernandes,2
Danilo Luís Hélio Pereira,Cristiano Ronaldo dos Santos Aveiro,1
Danilo Luís Hélio Pereira,Diogo José Teixeira da Silva,2
Danilo Luís Hélio Pereira,João Filipe Iria Santos Moutinho,2
Danilo Luís Hélio Pereira,Kléper Laveran Lima Ferreira,5
