passer,recipient,n_passes_completed
Adam Hložek,Alex Král,3
Adam Hložek,Petr Ševčík,2
Adam Hložek,Tomáš Kalas,1
Adam Hložek,Tomáš Souček,1
Alex Král,Jan Bořil,4
Alex Král,Ondrej Celustka,2
Alex Král,Patrik Schick,2
Alex Král,Petr Ševčík,1
Alex Král,Tomáš Kalas,1
Alex Král,Tomáš Souček,2
Alex Král,Tomáš Vaclík,2
Alex Král,Vladimír Darida,2
Antonín Barák,Tomáš Souček,2
Jakub Jankto,Alex Král,1
Jakub Jankto,Jan Bořil,4
Jakub Jankto,Lukáš Masopust,1
Jakub Jankto,Ondrej Celustka,1
Jakub Jankto,Patrik Schick,1
Jakub Jankto,Tomáš Holeš,1
Jakub Jankto,Tomáš Kalas,2
Jakub Jankto,Tomáš Souček,5
Jakub Jankto,Vladimír Coufal,5
Jan Bořil,Adam Hložek,1
Jan Bořil,Jakub Jankto,5
Jan Bořil,Petr Ševčík,2
Jan Bořil,Tomáš Holeš,3
Jan Bořil,Tomáš Kalas,6
Jan Bořil,Tomáš Souček,10
Jan Bořil,Tomáš Vaclík,2
Jan Bořil,Vladimír Darida,8
Lukáš Masopust,Jakub Jankto,2
Lukáš Masopust,Jan Bořil,1
Lukáš Masopust,Ondrej Celustka,1
Lukáš Masopust,Patrik Schick,4
Lukáš Masopust,Tomáš Souček,3
Lukáš Masopust,Vladimír Coufal,5
Michael Krmenčík,Petr Ševčík,1
Ondrej Celustka,Alex Král,1
Ondrej Celustka,Jan Bořil,1
Ondrej Celustka,Lukáš Masopust,2
Ondrej Celustka,Patrik Schick,1
Ondrej Celustka,Tomáš Holeš,4
Ondrej Celustka,Tomáš Kalas,6
Ondrej Celustka,Tomáš Souček,6
Ondrej Celustka,Tomáš Vaclík,5
Ondrej Celustka,Vladimír Coufal,7
Patrik Schick,Adam Hložek,1
Patrik Schick,Alex Král,1
Patrik Schick,Jakub Jankto,2
Patrik Schick,Lukáš Masopust,1
Patrik Schick,Ondrej Celustka,1
Patrik Schick,Tomáš Holeš,1
Patrik Schick,Tomáš Kalas,1
Patrik Schick,Tomáš Souček,2
Patrik Schick,Vladimír Coufal,2
Patrik Schick,Vladimír Darida,1
Petr Ševčík,Alex Král,3
Petr Ševčík,Jan Bořil,2
Petr Ševčík,Tomáš Souček,1
Petr Ševčík,Vladimír Coufal,3
Tomáš Holeš,Jakub Jankto,2
Tomáš Holeš,Lukáš Masopust,3
Tomáš Holeš,Ondrej Celustka,2
Tomáš Holeš,Tomáš Kalas,3
Tomáš Holeš,Tomáš Souček,4
Tomáš Holeš,Vladimír Coufal,3
Tomáš Holeš,Vladimír Darida,2
Tomáš Kalas,Adam Hložek,2
Tomáš Kalas,Alex Král,1
Tomáš Kalas,Jakub Jankto,4
Tomáš Kalas,Jan Bořil,7
Tomáš Kalas,Ondrej Celustka,7
Tomáš Kalas,Tomáš Holeš,4
Tomáš Kalas,Tomáš Souček,6
Tomáš Kalas,Tomáš Vaclík,6
Tomáš Kalas,Vladimír Coufal,1
Tomáš Kalas,Vladimír Darida,4
Tomáš Souček,Adam Hložek,2
Tomáš Souček,Alex Král,4
Tomáš Souček,Antonín Barák,2
Tomáš Souček,Jakub Jankto,4
Tomáš Souček,Jan Bořil,6
Tomáš Souček,Lukáš Masopust,2
Tomáš Souček,Ondrej Celustka,7
Tomáš Souček,Patrik Schick,2
Tomáš Souček,Tomáš Holeš,2
Tomáš Souček,Tomáš Kalas,5
Tomáš Souček,Tomáš Vaclík,4
Tomáš Souček,Vladimír Coufal,6
Tomáš Souček,Vladimír Darida,4
Tomáš Vaclík,Alex Král,2
Tomáš Vaclík,Jakub Jankto,1
Tomáš Vaclík,Jan Bořil,1
Tomáš Vaclík,Michael Krmenčík,1
Tomáš Vaclík,Ondrej Celustka,3
Tomáš Vaclík,Petr Ševčík,1
Tomáš Vaclík,Tomáš Kalas,10
Tomáš Vaclík,Tomáš Souček,1
Tomáš Vaclík,Vladimír Coufal,4
Tomáš Vaclík,Vladimír Darida,1
Vladimír Coufal,Adam Hložek,1
Vladimír Coufal,Alex Král,1
Vladimír Coufal,Jakub Jankto,5
Vladimír Coufal,Jan Bořil,1
Vladimír Coufal,Lukáš Masopust,6
Vladimír Coufal,Michael Krmenčík,2
Vladimír Coufal,Ondrej Celustka,3
Vladimír Coufal,Patrik Schick,5
Vladimír Coufal,Petr Ševčík,2
Vladimír Coufal,Tomáš Holeš,3
Vladimír Coufal,Tomáš Kalas,1
Vladimír Coufal,Tomáš Souček,8
Vladimír Coufal,Tomáš Vaclík,3
Vladimír Coufal,Vladimír Darida,6
Vladimír Darida,Adam Hložek,3
Vladimír Darida,Alex Král,2
Vladimír Darida,Jakub Jankto,3
Vladimír Darida,Jan Bořil,5
Vladimír Darida,Lukáš Masopust,2
Vladimír Darida,Patrik Schick,2
Vladimír Darida,Tomáš Kalas,5
Vladimír Darida,Tomáš Souček,3
Vladimír Darida,Tomáš Vaclík,1
Vladimír Darida,Vladimír Coufal,4
